date,listeners,streams,followers
2024-01-01,16,29,644
2024-01-02,22,66,644
2024-01-03,16,48,644
2024-01-04,10,22,644
2024-01-05,21,39,645
2024-01-06,30,58,645
2024-01-07,19,42,647
2024-01-08,14,27,647
2024-01-09,18,22,649
2024-01-10,19,52,650
2024-01-11,20,48,650
2024-01-12,27,73,652
2024-01-13,20,46,651
2024-01-14,25,49,651
2024-01-15,17,34,652
2024-01-16,19,35,653
2024-01-17,16,23,653
2024-01-18,15,37,653
2024-01-19,21,59,653
2024-01-20,15,22,653
2024-01-21,15,23,654
2024-01-22,24,44,654
2024-01-23,12,26,653
2024-01-24,20,46,653
2024-01-25,19,39,653
2024-01-26,21,38,654
2024-01-27,17,40,656
2024-01-28,24,34,657
2024-01-29,18,39,658
2024-01-30,24,44,658
2024-01-31,19,37,658
2024-02-01,23,50,658
2024-02-02,21,59,658
2024-02-03,26,58,658
2024-02-04,11,15,658
2024-02-05,17,29,658
2024-02-06,18,46,658
2024-02-07,18,43,659
2024-02-08,20,49,660
2024-02-09,21,61,660
2024-02-10,19,29,660
2024-02-11,15,26,660
2024-02-12,11,28,660
2024-02-13,17,47,659
2024-02-14,24,29,659
2024-02-15,24,49,661
2024-02-16,17,38,663
2024-02-17,20,48,668
2024-02-18,17,58,670
2024-02-19,24,83,670
2024-02-20,17,40,670
2024-02-21,24,47,670
2024-02-22,15,49,671
2024-02-23,17,30,671
2024-02-24,17,68,671
2024-02-25,17,44,671
2024-02-26,21,37,672
2024-02-27,14,40,673
2024-02-28,23,47,673
2024-02-29,16,29,673
2024-03-01,21,58,673
2024-03-02,16,18,673
2024-03-03,17,23,673
2024-03-04,18,48,674
2024-03-05,14,33,674
2024-03-06,19,53,674
2024-03-07,19,33,674
2024-03-08,17,36,674
2024-03-09,16,46,674
2024-03-10,10,12,674
2024-03-11,15,18,674
2024-03-12,16,32,674
2024-03-13,19,53,674
2024-03-14,20,29,675
2024-03-15,17,27,675
2024-03-16,16,45,675
2024-03-17,15,24,675
2024-03-18,14,18,675
2024-03-19,11,16,675
2024-03-20,14,25,675
2024-03-21,17,27,674
2024-03-22,22,38,674
2024-03-23,16,41,674
2024-03-24,16,32,674
2024-03-25,20,23,675
2024-03-26,18,24,675
2024-03-27,16,21,675
2024-03-28,16,43,675
2024-03-29,10,26,675
2024-03-30,21,34,676
2024-03-31,20,26,676
2024-04-01,18,32,676
2024-04-02,18,23,677
2024-04-03,16,22,677
2024-04-04,17,31,678
2024-04-05,10,19,678
2024-04-06,21,38,680
2024-04-07,24,44,681
2024-04-08,19,25,681
2024-04-09,21,35,682
2024-04-10,25,33,682
2024-04-11,12,22,682
2024-04-12,15,28,683
2024-04-13,14,23,684
2024-04-14,22,40,684
2024-04-15,22,27,684
2024-04-16,15,20,686
2024-04-17,20,29,687
2024-04-18,19,45,687
2024-04-19,20,35,687
2024-04-20,12,22,687
2024-04-21,16,35,687
2024-04-22,15,17,687
2024-04-23,10,20,687
2024-04-24,21,38,688
2024-04-25,20,28,688
2024-04-26,11,23,689
2024-04-27,15,35,689
2024-04-28,18,33,689
2024-04-29,24,42,689
2024-04-30,25,35,689
2024-05-01,17,22,689
2024-05-02,16,47,689
2024-05-03,16,36,689
