song,listeners,streams,saves,release_date
"Papillons Noirs (Dark)",7511,10554,165,2025-10-31
"Country Gay (Clean)",3323,7990,377,2025-05-07
"Red String",674,3511,149,2025-09-30
"Song for a Savers Parking Lot",632,3015,75,2020-12-26
"U Rite Girl",1143,2219,154,2021-01-01
"Aphrodite",334,1781,44,2023-05-01
"She's a Rat",348,1518,37,2021-01-01
"Echoes",209,1017,19,2021-01-01
"Rubber Ducky",228,1010,24,2021-01-01
"Blueroom",209,977,25,2020-12-26
"W.Y.R.",190,850,20,2023-06-24
"Blueroom",150,651,14,2020-04-23
"Plebe Summer",141,608,16,2023-01-01
"Rich Kidz",126,368,33,2026-01-05
"Consent",60,127,17,2026-01-12
