song,listeners,streams,saves,release_date
"Papillons Noirs (Dark)",293,486,12,2025-10-31
"Rich Kidz",107,312,20,2026-01-05
"Song for a Savers Parking Lot",87,254,6,2020-12-26
"Country Gay (Clean)",96,226,5,2025-05-07
"Red String",59,177,4,2025-09-30
"She's a Rat",56,138,2,2021-01-01
"Consent",60,127,17,2026-01-12
"Aphrodite",46,119,1,2023-05-01
"U Rite Girl",48,108,2,2021-01-01
"Blueroom",33,105,2,2020-12-26
"W.Y.R.",28,73,0,2023-06-24
"Rubber Ducky",33,70,1,2021-01-01
"Echoes",31,69,1,2021-01-01
"Plebe Summer",24,44,2,2023-01-01
"Blueroom",22,42,1,2020-04-23
