Rank,"Rank - 1",Peak,"Peak date",Song,Chart,Country,City,Platform,"Time on chart","Time unit"
0,0,3,2021-01-29T12:00:00+00:00,"Song for a Saver's Parking Lot",KXCI,"United States",,Airplay,15,daily
0,0,8,2025-06-07T12:00:00+00:00,"U Rite Girl","All stations","Costa Rica",,Airplay,13,daily
0,0,8,2025-06-07T12:00:00+00:00,"U Rite Girl","Nova Hits Radio","Costa Rica",,Airplay,13,daily
0,0,12,2025-06-27T12:00:00+00:00,"Country Gay",KXCI,"United States",,Airplay,5,daily
0,0,13,2023-01-11T12:00:00+00:00,Blueroom,KXCI,"United States",,Airplay,4,daily
0,0,21,2023-07-05T12:00:00+00:00,W.Y.R.,KXCI,"United States",,Airplay,6,daily
0,0,30,2021-06-21T12:00:00+00:00,"Song for a Saver's Parking Lot",KXCI,"United States",,Airplay,7,weekly
0,0,37,2025-11-19T12:00:00+00:00,"Papillons Noirs (Dark)",KXCI,"United States",,Airplay,2,daily
0,0,82,2025-06-09T12:00:00+00:00,"U Rite Girl","All stations","Costa Rica",,Airplay,7,weekly
0,0,82,2025-06-09T12:00:00+00:00,"U Rite Girl","Nova Hits Radio","Costa Rica",,Airplay,7,weekly
0,0,98,2021-04-14T12:00:00+00:00,"She's a Rat",KXCI,"United States",,Airplay,6,daily
0,0,112,2024-07-31T12:00:00+00:00,"Plebe Summer",KXCI,"United States",,Airplay,3,daily
0,0,125,2023-07-10T12:00:00+00:00,W.Y.R.,KXCI,"United States",,Airplay,2,weekly
0,0,127,2021-05-15T12:00:00+00:00,"Rubber Ducky",KXCI,"United States",,Airplay,3,daily
0,0,148,2023-05-24T12:00:00+00:00,Aphrodite,KXCI,"United States",,Airplay,4,daily
0,0,157,2021-02-10T12:00:00+00:00,"Blue Room",KXCI,"United States",,Airplay,1,daily
0,0,188,2023-01-16T12:00:00+00:00,Blueroom,KXCI,"United States",,Airplay,2,weekly
0,0,204,2023-02-27T12:00:00+00:00,"She's a Rat",KXCI,"United States",,Airplay,4,weekly
0,0,207,2024-09-15T12:00:00+00:00,W.Y.R.,"Amazing Radio USA","United States",,Airplay,3,daily
0,0,236,2022-09-26T12:00:00+00:00,"Rubber Ducky",KXCI,"United States",,Airplay,1,weekly
0,0,249,2026-01-14T12:00:00+00:00,"Rich Kidz",KXCI,"United States",,Airplay,1,daily
0,0,271,2025-11-24T12:00:00+00:00,"Papillons Noirs (Dark)",KXCI,"United States",,Airplay,2,weekly
0,0,274,2025-10-15T12:00:00+00:00,"Red String",KXCI,"United States",,Airplay,1,daily
0,0,287,2026-02-02T12:00:00+00:00,"Red String","All stations","Costa Rica",,Airplay,1,daily
0,0,287,2026-02-02T12:00:00+00:00,"Red String","Nova Hits Radio","Costa Rica",,Airplay,1,daily
0,0,322,2021-02-15T12:00:00+00:00,"Blue Room",KXCI,"United States",,Airplay,1,weekly
0,0,343,2024-08-05T12:00:00+00:00,"Plebe Summer",KXCI,"United States",,Airplay,2,weekly
0,0,584,2025-06-30T12:00:00+00:00,"Country Gay",KXCI,"United States",,Airplay,4,weekly
