Song,Artist(s),Label,"Label type","Release date","Song isrc","Song uuid","Song url","Soundcharts score Total","Soundcharts score Change"," Soundcharts score Change %","Spotify stream Total","Spotify stream Change","Spotify stream Change %","Spotify popularity Total","Spotify popularity Change","Spotify popularity Change %","Tidal popularity Total","Tidal popularity Change","Tidal popularity Change %","Deezer popularity Total","Deezer popularity Change","Deezer popularity Change %","Youtube views Total","Youtube views Change","Youtube views Change %","Tiktok videos Total","Tiktok videos Change","Tiktok videos Change %","Airplay plays Total","Airplay plays Change","Airplay plays Change %","Shazam counts Total","Shazam counts Change","Shazam counts Change %","Soundcloud plays Total","Soundcloud plays Change","Soundcloud plays Change %"
"Song for a Saver's Parking Lot","Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061794,8dd67dc8-6b96-48e1-840b-952446644be4,https://app.soundcharts.com/app/song/8dd67dc8-6b96-48e1-840b-952446644be4/overview,40882,2882,7.58,15274,213,1.41,5,1,25,17,0,0,3,0,0,290,1,0.35,,,,9,-1,-10,,,,954,0,0
"Papillons Noirs (Dark)","Tonight's Sunshine","Tonight's Sunshine","Self released",2025-10-31,USX9P2580514,6e69953a-9a5b-47aa-85fd-e66775d1f5f3,https://app.soundcharts.com/app/song/6e69953a-9a5b-47aa-85fd-e66775d1f5f3/overview,50559,-2441,-4.61,10472,539,5.43,15,-6,-28.57,10,0,0,1,0,100,,,,,,,2,0,0,12,0,0,176,0,0
"She's a Rat","Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061819,4cf941cc-d3fe-4196-867d-4a97817c14f1,https://app.soundcharts.com/app/song/4cf941cc-d3fe-4196-867d-4a97817c14f1/overview,36418,418,1.16,9621,122,1.28,3,0,0,20,4,25,,,,717,13,1.85,4,0,0,3,0,0,,,,2,0,0
"Country Gay","Tonight's Sunshine","Tonight's Sunshine","Self released",2025-05-07,USHM22502428,e1457939-120f-4f58-8106-ca7b89ec7ec1,https://app.soundcharts.com/app/song/e1457939-120f-4f58-8106-ca7b89ec7ec1/overview,42486,2486,6.22,7929,225,2.92,6,1,20,16,0,0,10,0,0,1636,11,0.68,2,0,0,5,0,0,14,1,7.69,75,5,7.14
Blueroom,"Tonight's Sunshine","Tonight's Sunshine","Self released",2020-03-11,QZ93L2015022,55b4f63e-74d4-4c49-8e4b-f8a7a6f5b05a,https://app.soundcharts.com/app/song/55b4f63e-74d4-4c49-8e4b-f8a7a6f5b05a/overview,26971,0,0,7513,36,0.48,1,0,100,14,0,0,10,0,0,394,1,0.25,,,,1,0,100,,,,,,
Aphrodite,"Tonight's Sunshine","Tonight's Sunshine","Self released",2023-05-01,USHM22313492,6c2b6f62-5fd0-45d0-87e9-cac9c5311e0b,https://app.soundcharts.com/app/song/6c2b6f62-5fd0-45d0-87e9-cac9c5311e0b/overview,36418,4418,13.81,6980,111,1.62,3,1,50,22,0,0,2,0,0,949,42,4.63,6,0,0,,,,,,,,,
"Rubber Ducky","Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061817,4ae835c1-46da-43ea-bda4-5534925d1c01,https://app.soundcharts.com/app/song/4ae835c1-46da-43ea-bda4-5534925d1c01/overview,32898,898,2.81,6949,69,1,2,0,0,17,0,0,,,,650,14,2.2,3,0,0,,,,10,0,0,3,0,0
"U Rite Girl","Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061820,da015bf2-7c5e-4b31-a326-95adad2745cb,https://app.soundcharts.com/app/song/da015bf2-7c5e-4b31-a326-95adad2745cb/overview,36418,418,1.16,6295,116,1.88,3,0,0,18,0,0,,,,935,6,0.65,2,0,0,14,0,0,10,0,0,42,3,7.69
Echoes,"Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061816,f78c9fbc-29f3-4011-8016-b175c247bedc,https://app.soundcharts.com/app/song/f78c9fbc-29f3-4011-8016-b175c247bedc/overview,32899,899,2.81,6228,68,1.1,2,0,0,18,4,28.57,,,,563,14,2.55,,,,,,,3,0,0,9,4,80
"Blueroom : Blueroom","Tonight's Sunshine","Tonight's Sunshine","Self released",2021-01-01,QZ93L2061797,2fde3f03-c594-43de-8089-6fb27ef1a24b,https://app.soundcharts.com/app/song/2fde3f03-c594-43de-8089-6fb27ef1a24b/overview,32898,5898,21.84,5622,94,1.7,2,1,200,,,,2,0,0,,,,,,,,,,,,,,,
"Red String","Tonight's Sunshine","Tonight's Sunshine","Self released",2025-09-30,USL4R2521552,791855ea-6ccd-44c0-90d7-2598a9952b8f,https://app.soundcharts.com/app/song/791855ea-6ccd-44c0-90d7-2598a9952b8f/overview,42486,-514,-1.2,3480,218,6.68,6,-1,-14.29,13,0,0,2,-8,-80,81,1,1.25,,,,1,0,100,,,,235,13,5.86
W.Y.R.,"Tonight's Sunshine","Tonight's Sunshine","Self released",2023-06-24,USHM82347458,35b753c1-0cee-42ca-87e7-ab5d015a429e,https://app.soundcharts.com/app/song/35b753c1-0cee-42ca-87e7-ab5d015a429e/overview,32898,5898,21.84,3271,67,2.09,2,1,200,14,0,0,10,0,0,594,10,1.71,7,0,0,0,0,0,,,,,,
"Plebe Summer","Tonight's Sunshine","Tonight's Sunshine","Self released",2023-01-01,USL4Q2296952,d9873698-2f49-4b3c-b4d2-b3d1baccc808,https://app.soundcharts.com/app/song/d9873698-2f49-4b3c-b4d2-b3d1baccc808/overview,26972,972,3.74,3096,42,1.38,1,0,100,16,0,0,,,,2075,16,0.78,2,0,0,1,0,100,10,0,0,11,6,120
"Blue Room","Tonight's Sunshine",,,,QZ8252007795,2770d025-ed5a-4cff-9424-73a6565a56ab,https://app.soundcharts.com/app/song/2770d025-ed5a-4cff-9424-73a6565a56ab/overview,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,681,0,0
"Downtown Nightmare","Tonight's Sunshine, Thy Nightmare","Thy Nightmare","Self released",2024-05-15,USHM22425551,43e3df5e-f49d-40c7-b958-499f1a8f27ea,https://app.soundcharts.com/app/song/43e3df5e-f49d-40c7-b958-499f1a8f27ea/overview,1,0,0,,,,,,,,,,,,,111,7,6.73,,,,,,,,,,,,
"Rich Kidz","Tonight's Sunshine","Tonight's Sunshine","Self released",2026-01-05,USY282583041,128cc010-4b39-4ec2-a0c1-12781c05301d,https://app.soundcharts.com/app/song/128cc010-4b39-4ec2-a0c1-12781c05301d/overview,42486,0,0,,,,6,0,0,18,0,0,10,0,0,32,0,0,,,,1,0,0,,,,,,
Consent,"Tonight's Sunshine","Tonight's Sunshine","Self released",2026-01-12,USCGH2639725,fa21e3df-7e98-494f-a101-7e5a96701d65,https://app.soundcharts.com/app/song/fa21e3df-7e98-494f-a101-7e5a96701d65/overview,0,0,0,,,,,,,18,0,0,10,0,0,12,3,33.33,,,,,,,,,,,,
