listeners,streams,followers,chg_followers,year,month
593,1241,658,14,2024,January
544,1276,673,15,2024,February
516,982,676,3,2024,March
535,899,689,13,2024,April
497,894,701,12,2024,May
637,1188,716,14,2024,June
459,882,719,4,2024,July
490,1112,727,8,2024,August
411,951,736,10,2024,September
431,832,739,3,2024,October
370,789,748,9,2024,November
435,829,753,9,2024,December
455,919,759,6,2025,January
422,901,768,8,2025,February
506,1197,776,7,2025,March
565,1101,793,17,2025,April
3654,6014,827,33,2025,May
1115,1911,836,9,2025,June
890,1696,848,12,2025,July
1687,2330,939,91,2025,August
761,1710,933,68,2025,September
1182,4111,889,20,2025,October
8595,10103,908,18,2025,November
1735,2347,913,6,2025,December
1267,2641,935,20,2026,January
102,233,935,1,2026,February
