Song,Artist(s),Label,Label type,Release date,Song isrc,Song uuid,Song url,Soundcharts score Total,Soundcharts score Change, Soundcharts score Change %,Spotify stream Total,Spotify stream Change,Spotify stream Change %,Spotify popularity Total,Spotify popularity Change,Spotify popularity Change %,Tidal popularity Total,Tidal popularity Change,Tidal popularity Change %,Deezer popularity Total,Deezer popularity Change,Deezer popularity Change %,Youtube views Total,Youtube views Change,Youtube views Change %,Tiktok videos Total,Tiktok videos Change,Tiktok videos Change %,Airplay plays Total,Airplay plays Change,Airplay plays Change %,Shazam counts Total,Shazam counts Change,Shazam counts Change %,Soundcloud plays Total,Soundcloud plays Change,Soundcloud plays Change %,days_since_release,rate_of_change
Song for a Saver's Parking Lot,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061794,8dd67dc8-6b96-48e1-840b-952446644be4,https://app.soundcharts.com/app/song/8dd67dc8-6b96-48e1-840b-952446644be4/overview,40882,2882,7.58,15274.0,213.0,1.41,5.0,1.0,25.0,17.0,0.0,0.0,3.0,0.0,0.0,290.0,1.0,0.35,,,,9.0,-1.0,-10.0,,,,954.0,0.0,0.0,1862.0,8.203007518796992
Papillons Noirs (Dark),Tonight's Sunshine,Tonight's Sunshine,Self released,2025-10-31,USX9P2580514,6e69953a-9a5b-47aa-85fd-e66775d1f5f3,https://app.soundcharts.com/app/song/6e69953a-9a5b-47aa-85fd-e66775d1f5f3/overview,50559,-2441,-4.61,10472.0,539.0,5.43,15.0,-6.0,-28.57,10.0,0.0,0.0,1.0,0.0,100.0,,,,,,,2.0,0.0,0.0,12.0,0.0,0.0,176.0,0.0,0.0,98.0,106.85714285714286
She's a Rat,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061819,4cf941cc-d3fe-4196-867d-4a97817c14f1,https://app.soundcharts.com/app/song/4cf941cc-d3fe-4196-867d-4a97817c14f1/overview,36418,418,1.16,9621.0,122.0,1.28,3.0,0.0,0.0,20.0,4.0,25.0,,,,717.0,13.0,1.85,4.0,0.0,0.0,3.0,0.0,0.0,,,,2.0,0.0,0.0,1862.0,5.167024704618689
Country Gay,Tonight's Sunshine,Tonight's Sunshine,Self released,2025-05-07,USHM22502428,e1457939-120f-4f58-8106-ca7b89ec7ec1,https://app.soundcharts.com/app/song/e1457939-120f-4f58-8106-ca7b89ec7ec1/overview,42486,2486,6.22,7929.0,225.0,2.92,6.0,1.0,20.0,16.0,0.0,0.0,10.0,0.0,0.0,1636.0,11.0,0.68,2.0,0.0,0.0,5.0,0.0,0.0,14.0,1.0,7.69,75.0,5.0,7.14,275.0,28.832727272727272
Blueroom,Tonight's Sunshine,Tonight's Sunshine,Self released,2020-03-11,QZ93L2015022,55b4f63e-74d4-4c49-8e4b-f8a7a6f5b05a,https://app.soundcharts.com/app/song/55b4f63e-74d4-4c49-8e4b-f8a7a6f5b05a/overview,26971,0,0.0,7513.0,36.0,0.48,1.0,0.0,100.0,14.0,0.0,0.0,10.0,0.0,0.0,394.0,1.0,0.25,,,,1.0,0.0,100.0,,,,,,,2158.0,3.481464318813716
Aphrodite,Tonight's Sunshine,Tonight's Sunshine,Self released,2023-05-01,USHM22313492,6c2b6f62-5fd0-45d0-87e9-cac9c5311e0b,https://app.soundcharts.com/app/song/6c2b6f62-5fd0-45d0-87e9-cac9c5311e0b/overview,36418,4418,13.81,6980.0,111.0,1.62,3.0,1.0,50.0,22.0,0.0,0.0,2.0,0.0,0.0,949.0,42.0,4.63,6.0,0.0,0.0,,,,,,,,,,1012.0,6.897233201581027
Rubber Ducky,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061817,4ae835c1-46da-43ea-bda4-5534925d1c01,https://app.soundcharts.com/app/song/4ae835c1-46da-43ea-bda4-5534925d1c01/overview,32898,898,2.81,6949.0,69.0,1.0,2.0,0.0,0.0,17.0,0.0,0.0,,,,650.0,14.0,2.2,3.0,0.0,0.0,,,,10.0,0.0,0.0,3.0,0.0,0.0,1862.0,3.7320085929108484
U Rite Girl,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061820,da015bf2-7c5e-4b31-a326-95adad2745cb,https://app.soundcharts.com/app/song/da015bf2-7c5e-4b31-a326-95adad2745cb/overview,36418,418,1.16,6295.0,116.0,1.88,3.0,0.0,0.0,18.0,0.0,0.0,,,,935.0,6.0,0.65,2.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,42.0,3.0,7.69,1862.0,3.3807733619763694
Echoes,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061816,f78c9fbc-29f3-4011-8016-b175c247bedc,https://app.soundcharts.com/app/song/f78c9fbc-29f3-4011-8016-b175c247bedc/overview,32899,899,2.81,6228.0,68.0,1.1,2.0,0.0,0.0,18.0,4.0,28.57,,,,563.0,14.0,2.55,,,,,,,3.0,0.0,0.0,9.0,4.0,80.0,1862.0,3.3447905477980666
Blueroom : Blueroom,Tonight's Sunshine,Tonight's Sunshine,Self released,2021-01-01,QZ93L2061797,2fde3f03-c594-43de-8089-6fb27ef1a24b,https://app.soundcharts.com/app/song/2fde3f03-c594-43de-8089-6fb27ef1a24b/overview,32898,5898,21.84,5622.0,94.0,1.7,2.0,1.0,200.0,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,1862.0,3.0193340494092373
